P_value_shallow,P_value_dnn1,P_value_dnn2
1.0 0.8705376772151505,0.003597630704052777 0.00013627882572227645,1.0 0.4527745981418703
0.8200031169998102 0.9556213629889968,0.3877392914445299 0.00982497568103229,0.2712695905273593 0.8615875391711274
0.00024014974008010781 0.7362138768438398,0.5671228918374733 0.5295455585634414,0.9445010898721362 0.9490854397117277
0.16346635269871593 0.13632718955920775,1.0 0.1265774381481808,0.005611401431200976 0.6115110625551456
1.0 0.7716843880238254,0.28172258701435665 1.0,0.13087397975744375 0.649712287794959
0.3178456151320501 0.48024646504817414,1.0 0.008247265036836047,1.0 0.0013034579709489485
0.997682430068336 1.0,0.25504345902003656 1.0,1.0 0.6277224653187811
1.0 0.7383081990701342,0.2772140135186378 1.0,1.0 1.0
0.22370356978370953 0.7094701684974811,2.379755144533532e-05 1.0,1.0 0.4660080416868043
1.0 0.024245580993809704,0.0008663194917670788 0.23810666579531956,0.12739420245594235 0.2715800469246781
4.908528099607303e-05 9.800935671113353e-07,1.0 0.3032373197511097,1.0 1.0
1.0 1.0,0.9347782152202537 0.5142658607675772,1.0 1.0
0.5464913707451261 1.0,1.0 1.0,0.11516221177931277 1.0
0.8040113347177711 0.975593709668715,1.0 1.0,0.9706900455954728 0.1428579880315978
0.01230995269707389 1.0,1.0 2.582429660205779e-05,1.0 1.0
0.8993927855058519 0.01495226457985872,0.8339167172907421 0.5476092059369042,0.35245250118358573 0.03532657756651483
0.14202354064978803 1.0,1.0 0.4559240519946204,0.26721406511332874 0.9776353370807251
0.08131667830085017 1.0,0.9832200871269854 0.45361954786911707,0.3171775803150573 0.14479685038168755
0.00031921232521690975 0.02622469508148841,0.6039925441937499 1.0,0.4140009067374312 0.07504496327071185
0.9411289524293789 0.639882148026725,3.0667973017504186e-09 0.7225127292723836,1.0 0.3863565136058871
0.9824783815060211 0.6453626471700142,0.594473615500315 0.5740854973270544,0.8752140480838229 1.0
1.0 0.32242803747038395,1.0 0.46639959280702825,1.0 0.9699934263271803
0.9449880468112234 1.0,0.43739007627565785 1.0,1.0 0.5664840417095343
0.8222420637771501 0.7305093277845359,0.012321169906389078 0.006456721919363277,1.0 1.0
1.0 1.0,1.0 1.0,1.0 1.0
1.0 0.629924753130986,1.0 1.0528680662100727e-05,0.2807406441456578 1.0
1.0 0.3036038086693023,0.8906645881558954 0.11803012891910666,0.046168279466318504 0.0008052477633298145
0.0005877079212157584 0.6946719741227363,0.7669426281699764 0.3846750060790512,1.0 0.4157671793789797
0.008772093619806787 0.6583615095929387,0.22374973205538928 0.10914247924337059,0.2563348612207842 0.10258000549019039
0.218589454593052 0.29341938723335353,0.021616005728698366 0.8687767880087887,0.3716251972583202 0.02178466919953139
0.3779951890563357 1.0,0.0003433428910904051 7.818964954583187e-07,0.002745791769445202 1.9511500508727186e-05
0.38320673926460513 0.5132502982044578,1.0 0.07964880554800624,0.5144436191806565 1.0
1.0 1.0,0.5785544337424875 0.0013607674187668254,0.8869591828415295 1.0
0.9949506456931686 0.9257573875285485,0.6657748260945068 0.020814882934225072,0.012386478652511888 0.1042020280700171
1.0 1.0,0.8802572147166378 0.08286065275995075,1.0 0.5269269770484726
1.0 0.8099653760926325,0.002712338685998655 0.00794431376311848,0.5244593948194236 0.07040412438682331
0.45297008541701633 0.00023337557963811682,2.24386591836048e-05 0.928718505972814,0.46374583424849264 0.7614972650870235
0.3142917957350613 0.5904879836652392,3.9487620868781326e-08 0.4153238743267228,1.0 1.0
1.0 0.07159582390158378,0.5161436557104844 9.780571901690672e-06,0.5860497464202097 0.36295004833575606
1.0 0.7338356091986846,0.8310048587424632 0.9070802675314822,0.16032142251020404 0.3122414410246566
1.0 0.05265363587109749,0.47167358034373047 1.004733314861005e-05,0.013545928465253765 0.0009832516318076915
1.0 1.0,1.0 0.8143900774080997,0.24351292049130885 0.8916012936990443
1.0 1.0,0.10110113784634837 0.32310147212799006,0.8853946704373064 0.4025580970441143
0.6855832013378115 0.05161661027029363,6.450258471939788e-10 8.575029671090662e-07,0.8026249014438152 0.01987373738095739
0.7914695663451639 7.45941429858172e-10,1.0 0.13788138296770974,0.1422613036766536 0.04601417920277333
1.0 0.49400318347667516,1.0 0.07706603407694346,0.592804330881638 1.0
0.8260069774735243 8.730502528262276e-05,1.0 0.7374474392621564,0.36764873202184756 0.9646824864035244
0.6612902252104564 0.077837445765665,1.0 0.9418050343117783,1.0 0.19013729388648437
1.0 0.1672102139863652,0.8552339870561978 1.0,0.8859578961245959 0.7794552896258494
