P_value_shallow,P_value_dnn1,P_value_dnn2
1.0 1.0,0.15224483494914126 0.10687190026666321,0.5435040874808562 0.23060645360176882
0.1373054037252442 0.5038368247265789,0.30131313301792545 0.26874271533424166,0.3024319725806209 0.725395662080833
0.06055417892909584 0.770216612035479,0.9424598346079535 0.1727424662179487,1.0 0.04542010540628072
1.0 1.0,1.0 1.0,1.0 1.0
0.005094250783704865 1.0,1.0 0.16175690477741717,0.22021336928112606 1.0
0.21879014757476895 0.096477264780994,0.5436680148296541 0.6903937731255788,0.05899172422976466 0.046652706944767044
0.4742013214805682 1.0,0.4836625110108878 0.2231692197937446,0.87213263375218 1.0
0.85839871645966 1.0,0.16474144905586202 0.05842959985103186,1.0 0.11843806088312
1.0 0.9896004657173912,1.0 0.04502981868567687,0.37103742160800013 1.0
0.2585471095975373 0.42625575125506804,0.2078644340562424 0.06979688917961258,0.42243025038621057 1.0
0.42356009482616575 1.0,0.31131169255592817 0.01907763395026408,0.40095547696804706 0.989111052196417
0.026536035565459037 1.0,0.4908469463448931 1.0,0.23720051858409819 1.0
1.0 1.0,1.0 1.0,1.0 0.8067069092400595
1.0 0.48357151396059905,0.2592598546064941 0.42600816131488295,0.20987368962805686 0.2899833246892731
0.5035704268726129 0.12774069889198322,1.0 1.0,1.0 1.0
0.65592264032589 0.6398975764251382,0.782039950667837 0.8697183465792476,0.5731880061416037 0.9440029191052606
1.0 1.0,0.812581113331885 1.0,0.36021040227494455 0.3077835449434296
0.0022532979974427647 0.045200424084914925,0.3033772278154234 0.7560005067589225,0.6060210079345121 1.0
1.0 0.4307398003037954,0.6459633571735747 0.0023805726033919138,0.3351862147299211 0.9558203345822623
0.6230605023462481 1.0,0.1719175019812786 0.09915522517419452,1.0 1.0
0.9515039623856281 0.06594976959774532,0.9569930520933367 1.0,1.0 1.0
1.0 0.6067771637081231,0.9212790915927952 0.48663944247579366,1.0 1.0
0.6538255310568415 0.2642385582170864,0.14753852704515039 0.5858138633287271,1.0 0.7493378816015174
1.0 1.0,0.03896364226211875 1.0,0.18010862331096272 0.9863533176146589
0.6760867060533396 0.2953458080254365,0.8962987443372301 0.9033782976542949,1.0 0.13201495287212667
0.2121465991360381 0.19258316744719076,0.00946812399641477 0.36494067902063526,1.0 1.0
1.0 1.0,0.05775627846179829 1.0,0.7326141126456787 0.1535686605423193
0.5888666418973041 0.2610693604591574,0.07454699888084358 0.3352427306000857,0.26258993665580643 0.30887060740476374
1.0 1.0,1.0 1.0,0.9078186721421531 0.00023816128619609018
0.4993700448188987 1.0,1.0 0.12300273401012449,1.0 1.0
1.0 1.0,0.33436322176323063 0.009404472126004974,0.25153249485259616 1.0
0.003714921504812774 0.2999042347162604,0.0126577533466431 1.0,0.6560846682306206 0.00510797980931085
0.7009993623962738 1.0,0.8909211469433176 0.32959800280824025,0.40070930710230485 1.0
0.7030382125670585 1.0,0.4546661500617408 0.19370391597523032,1.0 1.0
0.07262706110168493 0.36519706874678426,1.0 1.0,1.269333331661193e-05 0.538205450483423
0.5256357391902853 1.0,1.0 0.01922882429822214,0.8403908032924292 0.3637530220070512
0.7803002823824987 0.8675667979040065,0.09869078576322325 0.5521151295559209,1.0 0.8993344636268882
0.5147408132376383 0.7289488209817195,0.7163456871155821 0.28118736954635004,0.5424431066080315 1.0
1.0 0.4351656778377774,1.0 0.6736099755915196,1.0 1.0
0.6137323060453144 0.7049756745305105,0.11411907973256326 0.020087591764918082,0.27750830863192455 0.6517334065752447
0.1436831509624674 0.3591816124167364,0.29741542840741403 0.4951475862678816,1.0 1.0
0.24928345864087775 0.7763711366460126,0.9937877463505194 1.0,0.19606846052488364 0.606714181492015
1.0 1.0,0.8146927040594352 0.7426680985962497,1.0 0.7295088079201693
1.0 0.602394959114656,1.0 0.34115320713655656,0.1368747159460345 1.0
1.0 1.0,1.0 0.5031724153255815,0.3891862449268145 1.0
0.6860587205741291 0.5538749679018229,1.0 0.8616608567670379,0.000398151272521561 0.017255435267065966
1.0 0.5426171415861207,1.0 0.058376959655323434,0.4677224486649392 1.0
1.0 0.4300498681685002,0.022652802667294192 0.5095051158779764,0.5679929260386662 0.003942188823811442
1.0 0.18471372717641943,0.48819648735067644 0.2988961294768816,1.0 0.054281217250913595
0.7229787298531243 0.11358174242969277,0.36739608709923693 1.0,0.3369219977320659 1.0
0.7951681367347163 0.2891914831802278,0.09478260243193778 0.0005800548439705898,0.2326841603495285 0.10902586181544913
0.7465639415174151 0.7873573242549072,0.7124685587376384 0.7184968337913312,1.0 0.6138629193245784
0.055726934854570524 1.0,0.08444377819805117 1.0,0.37770051176310593 1.0
0.7616531760503331 0.30484553424187527,1.0 1.0,0.36077558530041504 0.25336097174884786
1.0 1.0,0.7386637846799446 0.2165069101495805,0.9620759601870699 0.7415598200518677
0.2658028270143826 1.0,1.0 0.6115301851013399,1.0 1.0
1.0 1.0,1.0 0.282397194269208,1.0 0.027953018793989592
0.5430799211124109 0.017200163102719806,0.04350222401684478 1.0,0.5639811625388467 1.0
1.0 0.5246290144255352,0.4786823047914633 0.22907332759481133,1.0 0.3622405049578464
0.41536653751174274 0.02051471573949671,0.8944885788993251 0.050279969091488685,1.0 1.0
0.9452933330736988 0.2150513661744616,0.17751674746661944 0.5308707645380425,1.0 0.6913584287935391
1.0 0.5906195206484202,1.0 0.7032486837085006,1.0 1.0
1.0 0.19191299853152927,0.7399055539395379 0.018307102872587064,0.05242969685480899 1.2042420531280132e-05
0.11336217103430336 1.0,1.0 1.0,0.9612579819360608 0.8204629574542291
1.0 0.4199672135743816,0.9153298630243635 1.0,0.5709701768224065 0.6904143579077326
1.0 0.04379455951413,1.0 0.43962175902091694,1.0 1.0
1.0 0.9798632375791368,1.0 1.0,1.0 0.2936547022354165
0.2809661413324407 0.33107048660741517,0.6571373092799071 1.0,1.0 0.17798317892000082
0.7011696421616553 0.20744633797903794,0.40693779812042824 1.0,0.886208876036225 0.012263740194876544
0.04516822453444772 0.8663035266851075,0.9731842732997591 0.7807085466649177,0.9458521771776502 1.0
0.7157595844611142 0.3003642158413853,0.4609265275082061 0.20750863922270227,0.8273955649253486 1.0
0.7273350139575698 0.0030943227411137156,0.37350214705869467 1.0,1.0 0.4083413779514757
0.4590429588059371 1.0,1.0 1.0,1.0 1.0
0.007102194997333343 0.33547724064851375,0.23507674134088616 0.4770249469345319,0.35617649248619443 1.0
0.3311235475384711 1.0,0.1174445938018491 0.889861629348681,0.64427205963323 0.012684140498726664
0.3658876344720386 0.09191521269619793,0.7153411076174269 0.5021260005379455,0.4793128532922845 0.5100481264154595
0.9267773968191511 1.0,0.38106219197937025 4.6497867502457245e-05,1.0 0.42072521488690323
1.0 1.0,1.0 1.0,0.0067474568175682655 0.8624253177200452
1.0 1.0,0.19888989247280978 0.5903128054776645,1.0 0.11144748648289424
